Player,Number,Position,Game,Goals,Shots,Assists,GBs,CTO,Draws,TOs,YC,GC
Sarah,10,A,Texas-N,0,0,0,0,0,0,2,0,0
Shannon,23,A,Texas-N,3,5,0,4,1,0,1,0,0
Taylor,2,D,Texas-N,0,0,0,1,1,0,1,0,0
Tess,3,M,Texas-N,3,6,1,4,2,1,1,0,0
Becca,15,M,VT-N,0,0,0,0,0,0,0,0,0
Brooklyn,5,A,VT-N,0,0,1,0,0,0,1,1,0
Devinne,11,D,VT-N,0,0,0,2,1,0,0,0,0
Haley,9,A,VT-N,2,0,0,1,0,0,3,0,0
Heather,12,M,VT-N,3,7,0,1,3,2,3,0,0
Julia,27,D,VT-N,0,0,0,6,4,0,0,0,0
Kallie,13,M,VT-N,0,1,0,0,0,0,1,0,0
Katie,6,M,VT-N,0,0,0,0,0,0,0,0,0
Kenedee,14,M,VT-N,0,0,1,1,0,0,0,0,0
Kenna,25,A,VT-N,0,0,0,0,0,0,0,0,0
Kim,19,D,VT-N,0,0,0,1,0,0,0,0,0
Lauren,8,M,VT-N,0,0,0,1,0,0,1,0,0
Logan,20,M,VT-N,0,0,0,1,0,1,0,0,0
Maysen,22,M,VT-N,0,0,0,0,0,0,0,0,0
Natalie,1,M,VT-N,0,0,0,0,0,0,0,0,0
Rachel,26,A,VT-N,0,0,0,0,0,0,0,0,0
Raegan,24,A,VT-N,0,0,0,0,0,0,0,0,0
Roni,4,D,VT-N,0,0,0,1,1,0,0,0,0
Sarah,10,A,VT-N,0,0,0,0,0,0,0,0,0
Shannon,23,A,VT-N,2,4,0,1,1,0,0,0,0
Taylor,2,D,VT-N,0,0,0,2,1,0,0,0,0
Tess,3,M,VT-N,1,5,0,0,0,3,0,0,0
Becca,15,M,UD-N,0,0,0,0,0,0,0,0,0
Brooklyn,5,A,UD-N,0,0,0,0,0,0,0,0,0
Devinne,11,D,UD-N,0,0,0,1,1,0,0,0,0
Haley,9,A,UD-N,1,2,0,2,0,0,0,0,0
Heather,12,M,UD-N,3,5,0,3,1,8,3,0,0
Julia,27,D,UD-N,0,0,0,1,0,0,0,0,0
